P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
HD 95872 b,Radial Velocity,Multiple Facilities,2015,2018-09-04,1188.6842,Msini,13.0,4375.0,5.15,0.06,,17.0,HD 95872,HD 95872,,K0 V,165.86588,-22.09433,11h03m27.81s,-22d05m39.59s,9.955,72.2195,5312.0,0.7,0.84,0.41,10.0,-0.242,4.43,9.5622825,91.437246,7.0336343,0.54104879,0.57770991,5.15927,4.841,5.459,5.1523202,0.021635587,97.633371,,Jovian,K,11 03 27.81,-22 05 39.59,0.57279603,2.0434488,0.8088947,0.46621995,0,0,Cold,0,Crater,Crt,Cup
OGLE-2015-BLG-0966L b,Microlensing,OGLE,2016,2019-12-05,21.0,Mass,4.86,,2.7,,,,OGLE-2015-BLG-0966L,,,,268.75425,-29.047111,17h55m01.02s,-29d02m49.6s,,3300.0,,0.38,,,,,,2.0786985,4.3209877,0.88909211,0.18294076,0.1028713,2.7,2.7,2.7,2.7,,,,Neptunian,,17 55 01.02,-29 02 49.60,,,,0.33415322,0,0,,0,Sagittarius,Sgr,Archer
TOI-1470 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,2023-08-07,7.32,Mass,2.18,2.527093,0.0285,0.3,87.42,,TOI-1470,,,M1.5 V,10.089143,61.213387,00h40m21.39s,+61d12m48.19s,13.459,51.9503,3709.0,0.47,0.47,0.0,1.3,-1.425,4.77,1.8324296,3.3577982,1.5402744,0.70654788,0.00049834781,0.0297825,0.01995,0.03705,0.028830516,48.505343,660.57708,746.01801,Superterran,M,00 40 21.39,+61 12 48.19,0.03758374,0.52343621,0.045102246,0.29056815,0,0,Hot,0,Cassiopeia,Cas,Cassiopeia
V1298 Tau b,Transit,K2,2019,2023-05-03,203.41018,Mass,10.27,24.1396,0.1688,0.29,89.0,85.0,V1298 Tau,,,K1,61.331654,20.157032,04h05m19.60s,+20d09m25.31s,10.115,108.199,5050.0,1.1,1.34,0.1,0.023,-0.02,4.25,4.4504212,19.806249,1.928554,0.1877852,0.0068298218,0.17589804,0.119848,0.217752,0.17062551,35.021205,609.64599,,Jovian,K,04 05 19.60,+20 09 25.31,0.95499259,2.6385405,0.59957102,0.19692931,0,0,Hot,0,Taurus,Tau,Bull
HD 22946 d,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,2023-07-10,26.57,Mass,2.607,47.42489,0.2958,,,,HD 22946,HD 22946,HIP 17047,F7/F8V,54.819538,-42.763028,03h39m16.69s,-42d45m46.90s,8.270001,62.7792,6169.0,1.1,1.12,-0.08,2.5,0.209,4.47,3.1924585,10.191791,3.9093944,1.4995759,0.0085529587,0.2958,0.2958,0.2958,0.2958,18.492842,528.26352,,Neptunian,F,03 39 16.69,-42 45 46.90,1.61808,3.4345019,4.0996486,0.43020858,0,0,Hot,0,Eridanus,Eri,River
WASP-70 A b,Transit,SuperWASP,2014,2024-03-04,187.512,Mass,13.047,3.7130203,0.04853,0.0,87.12,,WASP-70 A,HD 358155,,G4,315.47719,-13.433382,21h01m54.53s,-13d26m00.18s,10.786,222.355,5763.0,1.11,1.22,-0.006,9.5,0.162,4.31,3.7910473,14.37204,1.1015589,0.084430056,0.0026834751,0.04853,0.04853,0.04853,0.04853,616.56578,1269.3885,,Jovian,G,21 01 54.53,-13 26 00.18,1.4521116,3.253597,2.0470707,0.53903848,0,0,Hot,0,Aquarius,Aqr,Water Carrier
HAT-P-18 b,Transit,HATNet,2010,2024-03-04,62.61,Mass,11.153,5.508023,0.0559,0.084,88.8,120.0,HAT-P-18,,,K2,256.34638,33.012325,17h05m23.13s,+33d00m44.37s,12.597,161.4,4803.0,0.77,0.75,0.1,12.4,-0.569,4.57,2.3693324,5.6137362,0.50333867,0.045130339,0.0022189296,0.056097215,0.0512044,0.0605956,0.055949418,86.639115,776.16119,,Jovian,K,17 05 23.13,+33 00 44.37,0.26977394,1.4023737,0.34826955,0.49883704,0,0,Hot,0,Hercules,Her,Hercules
HD 86226 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,2024-03-04,7.25,Mass,2.16,3.98442,0.049,0.075,86.45,196.0,HD 86226,HD 86226,HIP 48739,G1 V,149.12352,-24.099186,09h56m29.64s,-24d05m57.07s,7.93,45.683,5863.0,1.02,1.05,0.018,4.6,0.072,4.4,1.8320703,3.3564815,1.5539266,0.71941047,0.00087170393,0.049137813,0.045325,0.052675,0.049034517,492.98391,1199.0817,1354.1743,Superterran,G,09 56 29.64,-24 05 57.07,1.1803206,2.9333492,2.3632175,0.46439179,0,0,Hot,0,Hydra,Hya,Water Snake
XO-4 b,Transit,Lowell Observatory,2010,2024-03-04,451.3186,Mass,14.011,4.12508,0.05524,0.0,88.8,240.0,XO-4,,,F5 V,110.38803,58.268109,07h21m33.13s,+58d16m05.19s,10.814,272.655,6397.0,1.1,1.45,-0.04,2.1,0.536,4.18,5.6755382,32.211734,2.2990317,0.16408763,0.0041058439,0.05524,0.05524,0.05524,0.05524,1125.8814,1475.6144,,Jovian,F,07 21 33.13,+58 16 05.19,3.4355795,5.0045354,6.0654291,0.41788708,0,0,Hot,0,Lynx,Lyn,Lynx
HATS-6 b,Transit,HATSouth,2015,2024-03-04,101.38777,Mass,11.187,3.3252725,0.03623,0.0,88.21,,HATS-6,,,M1 V,88.146808,-19.031627,05h52m35.23s,-19d01m53.86s,15.044,169.318,3724.0,0.57,0.57,0.2,8.1,-1.1,4.68,3.0104815,9.062999,0.81013668,0.072417688,0.0020380922,0.03623,0.03623,0.03623,0.03623,60.515041,710.50239,,Jovian,M,05 52 35.23,-19 01 53.86,0.079432823,0.76096339,0.049353233,0.42033668,0,0,Hot,0,Lepus,Lep,Hare
