P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
Kepler-674 b,Transit,Kepler,2016,2019-04-16,3.5,M-R relationship,1.69,2.2433819,0.028,0.0,82.88,,Kepler-674,,,,285.17619,50.14969,19h00m42.28s,+50d08m58.88s,15.569,342.254,4192.0,0.6,0.57,-0.27,3.31,-0.907,4.69,1.439099,2.0710059,1.2254473,0.72511674,0.00050417605,0.028,0.028,0.028,0.028,158.00977,903.17248,1019.9914,Superterran,K,19 00 42.28,+50 08 58.88,0.12387966,0.95030664,0.11218228,0.36833805,0,0,Hot,0,Draco,Dra,Dragon
Kepler-694 b,Transit,Kepler,2016,2019-04-16,8.25,M-R relationship,2.8,6.3658416,0.0659,0.0,87.92,,Kepler-694,,,,291.14953,40.420457,19h24m35.89s,+40d25m13.64s,15.284,1023.06,5700.0,0.97,0.95,0.0,4.07,-0.078,4.47,1.7165164,2.9464286,1.0522959,0.37581997,0.0013455445,0.0659,0.0659,0.0659,0.0659,192.41068,948.76139,,Neptunian,G,19 24 35.89,+40 25 13.64,0.83560302,2.4681058,1.756347,0.4474534,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-675 b,Transit,Kepler,2016,2019-04-16,6.53,M-R relationship,2.44,2.337438,0.0325,0.0,88.19,,Kepler-675,,,,293.83345,50.230348,19h35m20.03s,+50d13m49.25s,15.605,665.68,4945.0,0.79,0.75,-0.05,4.68,-0.507,4.6,1.6359186,2.6762295,1.0968154,0.4495145,0.00065730052,0.0325,0.0325,0.0325,0.0325,294.60036,1055.378,1191.8836,Superterran,K,19 35 20.03,+50 13 49.25,0.31117163,1.5061345,0.44830789,0.42770222,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-715 b,Transit,Kepler,2016,2019-04-16,13.5,M-R relationship,3.75,10.00653,0.0933,0.0,83.94,,Kepler-715,,,,283.6308,43.379364,18h54m31.39s,+43d22m45.71s,15.204,1327.44,5871.0,1.04,1.04,0.02,3.98,0.165,4.42,1.8973666,3.6,0.96,0.256,0.0021933118,0.0933,0.0933,0.0933,0.0933,167.97193,917.08352,,Neptunian,G,18 54 31.39,+43 22 45.71,1.4621772,3.264854,2.4114802,0.45626427,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-693 b,Transit,Kepler,2016,2018-09-25,73.8,M-R relationship,10.18,15.375633,0.1121,0.0,88.73,,Kepler-693,,,,283.25353,40.358216,18h53m00.85s,+40d21m29.58s,16.7286,1151.51,4881.0,0.76,0.72,-0.1,4.47,-0.427,4.61,2.6924912,7.2495088,0.7121325,0.069954077,0.0051539292,0.1121,0.1121,0.1121,0.1121,29.770681,595.04102,,Jovian,K,18 53 00.85,+40 21 29.58,0.37411059,1.6514437,0.39647913,0.41899993,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-530 b,Transit,Kepler,2016,2019-04-16,9.32,M-R relationship,3.01,39.309419,0.2212,0.0,89.97,,Kepler-530,,,,283.34029,48.549062,18h53m21.67s,+48d32m56.62s,13.502,457.709,5697.0,0.97,0.89,-0.08,1.78,-0.132,4.53,1.7596436,3.0963455,1.0286862,0.34175622,0.0047038316,0.2212,0.2212,0.2212,0.2212,15.080987,502.00397,,Neptunian,G,18 53 21.67,+48 32 56.62,0.73790423,2.3193365,1.7473181,0.38983912,0,0,Hot,0,Draco,Dra,Dragon
Kepler-54 b,Transit,Kepler,2012,2021-09-20,21.5,Mass,2.1,8.0109434,0.0619,0.0,89.59,,Kepler-54,,,M1 V,294.77392,43.056198,19h39m05.74s,+43d03m22.31s,16.282,271.701,3705.0,0.51,0.5,-0.27,13.8,-1.301,4.75,3.1997024,10.238095,4.8752834,2.3215635,0.0021549242,0.0619,0.0619,0.0619,0.0619,13.050246,484.17726,546.80213,Superterran,M,19 39 05.74,+43 03 22.31,0.050003453,0.6037592,0.046029664,0.44265096,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-540 b,Transit,Kepler,2016,2019-04-16,7.8,M-R relationship,2.71,172.70498,0.5886,0.0,90.0,,Kepler-540,,,,290.625,44.873776,19h22m30.00s,+44d52m25.59s,12.293,390.374,5946.0,1.02,1.08,-0.1,4.9,0.207,4.38,1.6965343,2.8782288,1.062077,0.39191035,0.011599439,0.5886,0.5886,0.5886,0.5886,4.6489993,374.05855,,Neptunian,G,19 22 30.00,+44 52 25.59,1.6106456,3.4266028,2.7254078,0.46930759,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-55 c,Transit,Kepler,2012,2021-09-20,69.8,Mass,2.21,42.151642,0.2095,0.0,89.96,,Kepler-55,,,,285.16833,44.02649,19h00m40.40s,+44d01m35.36s,15.746,578.796,4362.0,0.62,0.58,-0.01,2.34,-0.763,4.7,5.6199386,31.58371,14.291272,6.4666388,0.01011868,0.2095,0.2095,0.2095,0.2095,3.9321669,358.72174,405.11984,Superterran,K,19 00 40.40,+44 01 35.36,0.17258379,1.1216665,0.15188369,0.35147252,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-523 b,Transit,Kepler,2016,2019-04-16,4.5,M-R relationship,1.96,5.8359831,0.0606,0.0,89.66,,Kepler-523,,,,284.06112,45.506813,18h56m14.67s,+45d30m24.53s,12.588,253.295,5515.0,0.93,0.86,-0.03,2.45,-0.28,4.54,1.5152288,2.2959184,1.1713869,0.59764639,0.0010252609,0.0606,0.0606,0.0606,0.0606,142.90741,880.77179,994.69334,Superterran,G,18 56 14.67,+45 30 24.53,0.52480746,1.9559771,1.2603241,0.40542778,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-525 b,Transit,Kepler,2016,2019-04-16,7.41,M-R relationship,2.63,18.684049,0.1396,0.0,85.7,,Kepler-525,,,,296.18342,47.358778,19h44m44.02s,+47d21m31.60s,13.613,992.852,5573.0,0.95,1.15,0.11,10.47,0.525,4.29,1.6785382,2.8174905,1.0712892,0.40733428,0.0027692927,0.1396,0.1396,0.1396,0.1396,171.88151,922.37389,,Neptunian,G,19 44 44.02,+47 21 31.60,3.3496544,4.9415565,1.4022883,0.52014427,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-788 b,Transit,Kepler,2016,2019-04-16,7.04,M-R relationship,2.55,8.3984627,0.0835,0.0,86.16,,Kepler-788,,,,290.00042,38.539855,19h20m00.10s,+38d32m23.48s,15.45,1775.8,6159.0,1.16,1.23,0.05,3.02,0.336,4.32,1.6615608,2.7607843,1.0826605,0.42457275,0.0015235029,0.0835,0.0835,0.0835,0.0835,310.90453,1069.6864,,Neptunian,F,19 20 00.10,+38 32 23.48,2.1677041,3.9752438,4.1017944,0.4519031,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-743 b,Transit,Kepler,2016,2019-04-16,1.92,M-R relationship,1.21,3.1792629,0.0418,0.0,89.59,,Kepler-743,,,,295.57423,42.806426,19h42m17.82s,+42d48m23.13s,12.66,278.987,5486.0,0.94,0.85,0.01,1.86,-0.176,4.55,1.2596733,1.5867769,1.3113858,1.0837899,0.00053050073,0.0418,0.0418,0.0418,0.0418,381.63433,1125.9305,1271.5615,Terran,G,19 42 17.82,+42 48 23.13,0.66680677,2.2047724,1.2033532,0.38861505,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-844 b,Transit,Kepler,2016,2018-09-25,3.46,M-R relationship,1.68,2.6130209,0.0298,0.0,80.29,,Kepler-844,,,,287.85785,48.773965,19h11m25.88s,+48d46m26.27s,15.986,431.776,4128.0,0.59,0.57,-0.24,3.8,-0.921,4.7,1.4351041,2.0595238,1.225907,0.72970657,0.00053753846,0.0298,0.0298,0.0298,0.0298,135.07267,868.44352,980.77049,Superterran,K,19 11 25.88,+48 46 26.27,0.11994993,0.93511229,0.099940069,0.37480563,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-845 b,Transit,Kepler,2016,2019-04-16,4.82,M-R relationship,2.04,0.92785982,0.017,0.0,76.15,,Kepler-845,,,,290.95764,49.203726,19h23m49.83s,+49d12m13.41s,14.903,431.051,4913.0,0.79,0.75,0.01,4.79,-0.605,4.59,1.5371223,2.3627451,1.1582084,0.56774921,0.00031072354,0.017,0.017,0.017,0.017,859.21561,1379.1936,1557.5825,Superterran,K,19 23 49.83,+49 12 13.41,0.24831331,1.3454382,0.42432694,0.42936152,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-848 b,Transit,Kepler,2016,2019-04-16,3.53,M-R relationship,1.7,6.9113442,0.072,0.0,88.37,,Kepler-848,,,,293.28829,48.811611,19h33m09.19s,+48d48m41.80s,14.194,1378.47,5695.0,1.01,1.2,0.15,8.32,0.594,4.28,1.4409964,2.0764706,1.2214533,0.71850193,0.0010929548,0.072,0.072,0.072,0.072,757.41693,1336.3908,1509.2434,Superterran,G,19 33 09.19,+48 48 41.80,3.9264494,5.350123,1.7649387,0.51091955,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-827 b,Transit,Kepler,2016,2019-04-16,27.0,M-R relationship,5.63,51.929276,0.2742,0.0,89.69,,Kepler-827,,,,294.966,42.708561,19h39m51.84s,+42d42m30.82s,15.865,2046.68,5602.0,0.93,0.91,-0.06,4.37,0.232,4.5,2.1899171,4.7957371,0.85181832,0.15129988,0.0084297165,0.2742,0.2742,0.2742,0.2742,22.691599,555.98872,,Neptunian,G,19 39 51.84,+42 42 30.82,1.7060824,3.5266614,1.463506,0.44647731,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-828 b,Transit,Kepler,2016,2019-04-16,2.89,M-R relationship,1.51,0.56785714,0.0125,0.0,85.49,,Kepler-828,,,,286.88726,42.471227,19h07m32.94s,+42d28m16.42s,15.374,575.322,5039.0,0.81,0.77,-0.02,4.57,-0.543,4.58,1.3834404,1.9139073,1.2674883,0.8393962,0.00019105843,0.0125,0.0125,0.0125,0.0125,1833.0739,1666.843,1882.4373,Terran,K,19 07 32.94,+42 28 16.42,0.2864178,1.4449864,0.53128895,0.42957521,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-104 b,Transit,Kepler,2014,2024-02-21,19.6,Mass,3.1,11.427548,0.094,0.0,87.76,,Kepler-104,,,,287.60466,42.16651,19h10m25.12s,+42d09m59.44s,12.697,400.785,5711.0,0.82,1.35,-0.38,12.9,0.089,4.11,2.5144742,6.3225806,2.0395421,0.65791682,0.0027084896,0.094,0.094,0.094,0.094,138.91345,874.55229,,Neptunian,G,19 10 25.12,+42 09 59.44,1.2274392,2.9913261,1.6923817,0.51277606,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-483 b,Transit,Kepler,2016,2019-04-16,10.4,M-R relationship,3.21,30.229104,0.2072,0.0,88.1,,Kepler-483,,,,291.64678,41.884684,19h26m35.23s,+41d53m04.86s,13.452,860.355,6346.0,1.28,1.47,0.09,2.63,0.439,4.21,1.7999654,3.2398754,1.009307,0.31442585,0.0041666094,0.2072,0.2072,0.2072,0.2072,64.005972,720.53459,,Neptunian,F,19 26 35.23,+41 53 04.86,2.7478942,4.4757288,5.8445167,0.45633886,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-107 b,Transit,Kepler,2014,2023-04-17,3.8,Mass,1.536,3.1800218,0.04544,0.1,89.05,,Kepler-107,,,,297.02816,48.208602,19h48m06.76s,+48d12m30.97s,12.543,525.997,5854.0,1.24,1.45,0.321,4.29,0.364,4.21,1.5728822,2.4739583,1.61065,1.0486002,0.00059418277,0.0456672,0.040896,0.049984,0.045496987,1125.397,1472.68,1663.1607,Terran,G,19 48 06.76,+48 12 30.97,2.3120648,4.1054783,2.4834903,0.48990095,0,0,Hot,0,Cygnus,Cyg,Swan
TOI-3984 A b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,2023-07-21,44.0,Mass,7.9,4.353326,0.041,0.23,89.5,-54.0,TOI-3984 A,,,M4+/-0.5,226.33715,36.786975,15h05m20.92s,+36d47m13.11s,15.694,108.883,3476.0,0.49,0.47,0.18,2.9,-1.574,4.81,2.3600043,5.5696203,0.70501522,0.089242433,0.0014140954,0.04208445,0.03157,0.05043,0.041275939,16.301755,506.70038,,Neptunian,M,15 05 20.92,+36 47 13.11,0.026668587,0.44092403,0.030646821,0.33678794,0,0,Hot,0,Bootes,Boo,Herdsman
NGTS-23 b,Transit,Next-Generation Transit Survey (NGTS),2022,2022-11-14,194.82881,Mass,14.202,4.0764326,0.0504,0.0,89.12,,NGTS-23,,,F9 V,70.432295,-40.04453,04h41m43.75s,-40d02m40.31s,14.126,1074.95,6057.0,1.01,1.24,-0.26,6.39,0.283,4.04,3.7038367,13.718407,0.96594892,0.068014992,0.0029129054,0.0504,0.0504,0.0504,0.0504,755.33381,1335.4709,,Jovian,F,04 41 43.75,-40 02 40.31,1.9186687,3.7399325,3.2871863,0.48893235,0,0,Hot,0,Caelum,Cae,Chisel
K2-212 b,Transit,K2,2018,2023-12-14,7.51,M-R relationship,2.65,9.795647,0.0785,,89.191,,K2-212,,,,18.424101,3.0970732,01h13m41.78s,+03d05m49.46s,12.977,109.218,4349.0,0.62,0.68,0.03,,-0.91,4.72,1.6834376,2.8339623,1.0694197,0.40355461,0.0018033125,0.0785,0.0785,0.0785,0.0785,19.964603,538.47418,,Neptunian,K,01 13 41.78,+03 05 49.46,0.12302688,0.94703006,0.14852912,0.39338249,0,0,Hot,0,Pisces,Psc,Fishes
TRAPPIST-1 g,Transit,Multiple Observatories,2017,2022-11-14,1.321,Mass,1.129,12.352446,0.04683,0.00208,89.742,191.34,TRAPPIST-1,,,,346.62639,-5.0434618,23h06m30.33s,-05d02m36.46s,17.02,12.429889,2566.0,0.09,0.12,0.04,0.5,-3.257,5.24,1.081694,1.170062,1.0363702,0.91795415,0.0011445249,0.046830101,0.046732594,0.046927406,0.046830025,0.25232055,180.54585,203.89817,Terran,M,23 06 30.33,-05 02 36.46,0.00055335011,0.063513166,0.0036483813,0.14282382,1,1,Warm,1,Aquarius,Aqr,Water Carrier
K2-138 f,Transit,K2,2017,2021-03-12,1.63,Mass,2.904,12.75758,0.10447,0.062,88.8,144.0,K2-138,,,G8 V,348.94903,-10.849739,23h15m47.77s,-10d50m59.06s,12.246,202.585,5356.3,0.94,0.86,0.14,2.8,-0.287,4.54,0.74919608,0.56129477,0.19328332,0.066557618,0.0011776049,0.10467079,0.09799286,0.11094714,0.10452026,47.408164,667.95848,754.35414,Terran,G,23 15 47.77,-10 50 59.06,0.51641637,1.9402771,0.96298965,0.41603237,0,0,Hot,0,Aquarius,Aqr,Water Carrier
K2-141 b,Transit,K2,2018,2023-12-14,4.97,Mass,1.51,0.2803244,0.00747,0.0,86.3,90.0,K2-141,,,K7 V,350.91705,-1.1891827,23h23m40.09s,-01d11m21.06s,11.454,61.8736,4570.0,0.71,0.68,0.0,6.3,-0.75,4.62,1.814219,3.2913907,2.179729,1.4435291,0.00014293498,0.00747,0.00747,0.00747,0.00747,3186.8293,1913.9889,2161.5497,Terran,K,23 23 40.09,-01 11 21.06,0.17782794,1.1385806,0.22715688,0.43371161,0,0,Hot,0,Pisces,Psc,Fishes
Kepler-516 b,Transit,Kepler,2016,2019-04-16,27.9,M-R relationship,5.74,24.854624,0.1992,0.0,87.08,,Kepler-516,,,,295.60876,38.735737,19h42m26.10s,+38d44m08.65s,12.121,687.094,7099.0,1.62,2.02,0.01,1.32,0.798,4.04,2.204683,4.8606272,0.84679916,0.14752599,0.0051456192,0.1992,0.1992,0.1992,0.1992,158.27828,903.55593,,Neptunian,F,19 42 26.10,+38 44 08.65,6.2805836,6.766495,23.050328,0.44004001,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-524 b,Transit,Kepler,2016,2019-04-16,4.31,M-R relationship,1.91,7.9741981,0.0791,0.0,89.36,,Kepler-524,,,,296.85918,49.162013,19h47m26.20s,+49d09m43.25s,14.082,1058.24,6014.0,1.09,1.1,0.02,3.02,0.439,4.39,1.5021799,2.2565445,1.1814369,0.61855336,0.0012511575,0.0791,0.0791,0.0791,0.0791,439.18453,1166.1689,1317.0046,Superterran,F,19 47 26.20,+49 09 43.25,2.7478942,4.4757288,3.1316721,0.44262387,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-524 c,Transit,Kepler,2016,2019-04-16,0.84,M-R relationship,0.96,1.8889791,0.0303,0.0,89.84,,Kepler-524,,,,296.85918,49.162013,19h47m26.20s,+49d09m43.25s,14.082,1058.24,6014.0,1.09,1.1,0.02,3.02,0.439,4.39,0.93541435,0.875,0.91145833,0.94943576,0.00027787244,0.0303,0.0303,0.0303,0.0303,2993.0553,1884.2061,2127.9147,Terran,F,19 47 26.20,+49 09 43.25,2.7478942,4.4757288,3.1316721,0.44262387,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-737 b,Transit,Kepler,2016,2019-04-16,4.5,M-R relationship,1.96,28.599154,0.1422,0.0,89.99,,Kepler-737,,,,291.86298,46.429161,19h27m27.12s,+46d25m44.98s,15.971,205.118,3813.0,0.51,0.48,-0.24,3.89,-1.301,4.77,1.5152288,2.2959184,1.1713869,0.59764639,0.0029392213,0.1422,0.1422,0.1422,0.1422,2.4728673,319.44781,360.7661,Superterran,M,19 27 27.12,+46 25 44.98,0.050003453,0.6037592,0.055413878,0.35843177,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-738 b,Transit,Kepler,2016,2019-04-16,6.8,M-R relationship,2.5,24.587216,0.1552,0.0,89.02,,Kepler-738,,,,287.56965,46.567901,19h10m16.72s,+46d34m04.44s,15.793,1113.65,5327.0,0.86,0.82,-0.09,4.57,-0.213,4.55,1.6492423,2.72,1.088,0.4352,0.0030927664,0.1552,0.1552,0.1552,0.1552,25.422401,572.0103,645.99575,Superterran,G,19 10 16.72,+46 34 04.44,0.61235039,2.1128262,0.88896343,0.43823832,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-741 b,Transit,Kepler,2016,2019-04-16,9.11,M-R relationship,2.97,7.0390237,0.0744,0.0,89.94,,Kepler-741,,,,289.43173,46.617498,19h17m43.62s,+46d37m02.99s,15.186,1661.87,6129.0,1.16,1.24,0.07,3.16,0.332,4.31,1.7513823,3.0673401,1.0327744,0.3477355,0.0014792616,0.0744,0.0744,0.0744,0.0744,388.02002,1130.6111,,Neptunian,F,19 17 43.62,+46 37 02.99,2.1478305,3.9569792,3.8957434,0.45532904,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-764 b,Transit,Kepler,2016,2019-04-16,3.33,M-R relationship,1.64,7.3368394,0.0724,0.0,89.93,,Kepler-764,,,,297.39312,47.164581,19h49m34.35s,+47d09m52.49s,15.555,1047.84,5557.0,0.92,0.89,-0.06,4.17,-0.136,4.51,1.4249519,2.0304878,1.2381023,0.75494044,0.0011119262,0.0724,0.0724,0.0724,0.0724,139.48351,875.44814,988.68111,Superterran,G,19 49 34.35,+47 09 52.49,0.73113908,2.3086801,1.3497525,0.44141131,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-789 b,Transit,Kepler,2016,2019-04-16,5.14,M-R relationship,2.12,8.6384772,0.0951,0.0,89.77,,Kepler-789,,,,295.97515,38.94664,19h43m54.04s,+38d56m47.90s,14.723,1480.16,5870.0,1.01,1.02,-0.06,3.72,0.496,4.42,1.5570897,2.4245283,1.1436454,0.53945539,0.0016362375,0.0951,0.0951,0.0951,0.0951,346.44872,1099.0298,1241.1814,Superterran,G,19 43 54.04,+38 56 47.90,3.1332857,4.7792942,2.3839671,0.44677526,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-745 b,Transit,Kepler,2016,2019-04-16,5.31,M-R relationship,2.16,9.9314356,0.0915,0.0,89.84,,Kepler-745,,,,291.49944,37.059257,19h25m59.87s,+37d03m33.33s,15.427,1780.38,5849.0,1.04,1.04,0.06,4.07,0.376,4.42,1.5679073,2.4583333,1.1381173,0.52690615,0.001576014,0.0915,0.0915,0.0915,0.0915,283.89504,1045.6568,1180.905,Superterran,G,19 25 59.87,+37 03 33.33,2.3768403,4.1625912,2.3220368,0.45796788,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-758 d,Transit,Kepler,2016,2018-09-25,5.14,M-R relationship,2.12,20.49662,0.1447,0.0,80.73,,Kepler-758,,,,293.08461,41.135405,19h32m20.31s,+41d08m07.46s,14.379,1502.32,6228.0,1.16,1.42,-0.1,3.8,0.563,4.19,1.5570897,2.4245283,1.1436454,0.53945539,0.0023773265,0.1447,0.1447,0.1447,0.1447,174.60752,926.0095,1045.7822,Superterran,F,19 32 20.31,+41 08 07.46,3.6559479,5.162544,4.6180223,0.46954235,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-770 d,Transit,Kepler,2016,2019-04-16,2.54,M-R relationship,1.4,4.1524472,0.0616,0.0,86.24,,Kepler-770,,,,286.49046,38.374872,19h05m57.71s,+38d22m29.54s,14.852,930.457,5598.0,0.94,0.92,-0.01,4.57,0.054,4.49,1.3469542,1.8142857,1.2959184,0.92565598,0.00085822517,0.0616,0.0616,0.0616,0.0616,298.42732,1058.7888,1195.7356,Terran,G,19 05 57.71,+38 22 29.54,1.1324004,2.8731861,1.4586743,0.45142626,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-82 f,Transit Timing Variations,KOINet,2019,2019-07-19,20.9,Mass,4.84,75.732,0.3395,0.0014,86.3,62.0,Kepler-82,,,,292.87337,42.966158,19h31m29.61s,+42d57m58.17s,15.131,904.326,5529.0,0.91,0.9,0.211,4.68,-0.225,4.49,2.0780235,4.3181818,0.89218633,0.18433602,0.0096394344,0.33950033,0.3390247,0.3399753,0.33950008,5.1679805,384.08714,,Neptunian,G,19 31 29.61,+42 57 58.17,0.59566214,2.0838371,1.2816832,0.44834563,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-746 b,Transit,Kepler,2016,2019-04-16,1.41,M-R relationship,1.11,3.4815925,0.0435,0.0,89.71,,Kepler-746,,,,290.68221,37.355159,19h22m43.73s,+37d21m18.57s,13.785,450.0,5418.0,0.91,0.93,0.09,8.71,-0.172,4.46,1.1270627,1.2702703,1.1443876,1.0309798,0.00050350109,0.0435,0.0435,0.0435,0.0435,355.64891,1106.2546,1249.3407,Terran,G,19 22 43.73,+37 21 18.57,0.67297666,2.2149492,1.0591601,0.49725023,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-796 b,Transit,Kepler,2016,2019-04-16,2.24,M-R relationship,1.3,6.4008762,0.0662,0.0,85.17,,Kepler-796,,,,287.3079,39.14471,19h09m13.90s,+39d08m40.95s,13.175,817.584,5475.0,0.93,1.09,0.09,11.75,0.572,4.33,1.3126602,1.7230769,1.3254438,1.0195721,0.00088762923,0.0662,0.0662,0.0662,0.0662,851.69485,1376.1657,1554.1629,Terran,G,19 09 13.90,+39 08 40.95,3.7325016,5.2163145,1.1766235,0.52649243,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-765 b,Transit,Kepler,2016,2019-04-16,6.48,M-R relationship,2.43,27.665523,0.1754,0.0,89.99,,Kepler-765,,,,283.1846,47.155711,18h52m44.31s,+47d09m20.56s,14.709,1076.28,5901.0,1.05,1.06,0.04,3.72,0.146,4.41,1.6329932,2.6666667,1.0973937,0.45160234,0.0032181781,0.1754,0.1754,0.1754,0.1754,45.492607,661.58388,747.15503,Superterran,G,18 52 44.31,+47 09 20.56,1.3995873,3.1942122,2.5471385,0.45259709,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-542 b,Transit,Kepler,2016,2019-04-16,3.09,M-R relationship,1.57,13.144976,0.1038,0.0,88.51,,Kepler-542,,,,292.21497,38.548547,19h28m51.59s,+38d32m54.77s,13.606,436.016,5526.0,0.93,0.9,0.02,4.57,-0.122,4.5,1.4029087,1.9681529,1.2536006,0.79847169,0.0015493199,0.1038,0.1038,0.1038,0.1038,70.081807,737.05693,832.38998,Terran,G,19 28 51.59,+38 32 54.77,0.75509223,2.3461932,1.2843682,0.44981975,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1996 b,Transit,Kepler,2023,2023-05-16,5.73,M-R relationship,2.26,32.376183,0.1789,0.0,88.18,,Kepler-1996,,,,285.25376,46.582218,19h01m00.90s,+46d34m55.99s,15.11,440.561,4580.0,0.75,0.68,0.08,14.0,-0.657,4.64,1.5922934,2.5353982,1.1218576,0.49639718,0.0035244664,0.1789,0.1789,0.1789,0.1789,6.8830246,412.61455,465.9833,Superterran,K,19 01 00.90,+46 34 55.99,0.22029265,1.2672543,0.23535389,0.50458376,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-81 c,Transit,Kepler,2012,2019-04-16,4.3,Mass,2.37,12.04,0.08347,0.0,89.51,,Kepler-81,,,M0 V,293.63694,42.824827,19h34m32.87s,+42d49m29.38s,15.258,348.291,4385.0,0.64,0.59,-0.18,3.63,-0.889,4.7,1.3469766,1.814346,0.76554683,0.32301554,0.0015754761,0.08347,0.08347,0.08347,0.08347,18.53272,528.54808,596.91201,Superterran,M,19 34 32.87,+42 49 29.38,0.12912193,0.97020557,0.15968641,0.38218115,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-810 b,Transit,Kepler,2016,2019-04-16,4.38,M-R relationship,1.93,4.5972539,0.055,0.0,89.85,,Kepler-810,,,,296.61486,48.082564,19h46m27.57s,+48d04m57.23s,15.73,1458.59,5803.0,1.03,1.04,0.1,4.17,-0.032,4.42,1.5064628,2.2694301,1.1758705,0.60925932,0.00089130614,0.055,0.055,0.055,0.055,307.09633,1066.3956,1204.3263,Superterran,G,19 46 27.57,+48 04 57.23,0.92896639,2.6023384,2.1386956,0.4583458,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-80 b,Transit,Kepler,2012,2018-09-25,6.93,Mass,2.67,7.05246,0.0648,0.0,89.34,,Kepler-80,,,K5,296.11258,39.978745,19h44m27.02s,+39d58m43.48s,15.23,369.451,4540.0,0.73,0.68,0.04,2.0,-0.77,4.64,1.6110573,2.5955056,0.97209948,0.3640822,0.0013724516,0.0648,0.0648,0.0648,0.0648,40.443617,642.40987,,Neptunian,K,19 44 27.02,+39 58 43.48,0.16982437,1.1126633,0.21775286,0.36155202,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-758 b,Transit,Kepler,2016,2018-09-25,6.71,M-R relationship,2.48,12.10971,0.1019,0.0,81.62,,Kepler-758,,,,293.08461,41.135405,19h32m20.31s,+41d08m07.46s,14.379,1502.32,6228.0,1.16,1.42,-0.1,3.8,0.563,4.19,1.6448845,2.7056452,1.090986,0.43991369,0.0018297044,0.1019,0.1019,0.1019,0.1019,352.08833,1103.4753,1246.202,Superterran,F,19 32 20.31,+41 08 07.46,3.6559479,5.162544,4.6180223,0.46954235,0,0,Hot,0,Cygnus,Cyg,Swan
